t_offset_ms,bpm,breathing_rpm
1880157,146,
1881118,146,
1882077,146,
1883036,146,
1883995,146,
1884956,146,
1886396,146,
1887356,146,
1888316,146,
1889276,146,
1890236,146,
1891196,146,
1892155,146,
1893115,146,
1894078,146,
1895036,146,
1895997,146,
1896955,145,
1898396,145,
1899355,145,
1900315,145,
1901277,145,
1902236,145,
1903196,145,
1904155,145,
1906078,145,
1906081,145,
1907036,145,
1907997,145,
1908953,145,
1910397,145,
1911355,145,
1912316,145,
1913276,145,
1914235,145,
1915197,145,
1916156,145,
1918076,145,
1918079,145,
1919035,145,
1919999,145,
1920955,146,
1922397,146,
1923355,146,
1924317,146,
1925276,146,
1926236,146,
1927198,146,
1928156,147,
1929117,146,
1930076,146,
1931037,147,
1931996,147,
1933917,146,
1934395,146,
1935356,147,
1936316,147,
1937277,146,
1938237,147,
1939196,147,
1940157,147,
1941115,147,
1942077,147,
1943996,147,
1944000,147,
1944953,147,
1946400,147,
1947358,147,
1948316,147,
1949276,147,
1950236,147,
1951196,147,
1953116,147,
1953123,147,
1954075,147,
1955037,147,
1955997,147,
1956956,148,
1958397,147,
1959356,147,
1960316,147,
1961276,147,
1962237,147,
1963194,147,
1964157,148,
1965116,147,
1966076,147,
1967035,147,
1967995,148,
1968957,147,
1970396,147,
1971362,147,
1972316,147,
1973277,147,
1974236,147,
1975197,147,
1976158,147,
1977116,147,
1978076,147,
1979035,147,
1979996,147,
1980956,147,
1982399,147,
1983356,148,
1984316,147,
1985275,147,
1986234,147,
1987194,147,
1988157,147,
1989114,147,
1990074,147,
1991036,146,
1991997,142,
1992959,144,
1994395,145,
1995357,146,
1996315,147,
1997277,147,
1998236,148,
1999195,148,
2000155,148,
2001117,148,
2002076,148,
2003039,148,
2003996,148,
2004953,148,
2006397,148,
2007357,148,
2008316,147,
2009275,147,
2010236,147,
2011196,146,
2013115,146,
2013119,146,
2014075,145,
2015037,145,
2015998,145,
2016956,145,
2018395,145,
2019355,146,
2020319,146,
2021276,146,
2022237,146,
2023195,146,
2024156,146,
2025119,147,
2026077,147,
2027035,147,
2027995,147,
2028956,147,
2030396,147,
2031356,147,
2032316,147,
2033276,147,
2034236,146,
2035196,146,
2036156,146,
2038076,146,
2038082,146,
2039039,146,
2039995,147,
2040958,147,
2042398,147,
2043357,147,
2044318,147,
2045276,147,
2046236,147,
2047196,148,
2048152,148,
2049118,148,
2050076,148,
2051036,148,
2051995,148,
2053918,148,
2054397,148,
2055356,148,
2056315,148,
2057275,148,
2058237,148,
2059197,148,
2060155,148,
2061117,148,
2062072,148,
2063996,148,
2064002,148,
2064955,148,
2066397,148,
2067356,148,
2068317,148,
2069275,148,
2070237,147,
2071196,148,
2072156,148,
2073116,148,
2074078,148,
2075034,148,
2075996,148,
2076956,148,
2078397,148,
2079356,148,
2080315,148,
2081277,148,
2082235,148,
2083197,148,
2085114,148,
2085118,148,
2086074,148,
2087036,148,
2088953,148,
2088954,148,
2090395,148,
2091355,148,
2092317,147,
2094235,148,
2094242,148,
2095196,148,
2096156,147,
2097116,148,
2099038,148,
2099041,148,
2099996,148,
2100956,148,
2102397,148,
2103358,147,
2104315,147,
2105279,148,
2106235,148,
2108157,147,
2108160,147,
2109117,147,
2110075,147,
2111036,147,
2111995,147,
2113917,147,
2114397,147,
2115833,147,
2116318,147,
2117275,147,
2118237,146,
2119196,147,
2120157,147,
2121115,147,
2122076,147,
2123996,147,
2124000,147,
2124956,147,
2126400,147,
2127357,147,
2128315,147,
2129280,148,
2130235,148,
2131197,148,
2132155,148,
