t_offset_ms,rr_interval_ms,bpm_instantane
909733,431,139
910164,433,139
910597,433,139
911030,435,138
911465,432,139
911897,432,139
912329,433,139
912762,430,140
913192,430,140
913622,438,137
914060,427,141
914487,431,139
914918,429,140
915347,428,140
915775,428,140
916203,430,140
916633,432,139
917065,424,142
917489,431,139
917920,431,139
918351,424,142
918775,428,140
919203,854,70
920057,424,142
920481,429,140
920910,429,140
921339,424,142
921763,426,141
922189,425,141
922614,424,142
923038,429,140
923467,426,141
923893,427,141
924320,423,142
924743,426,141
925169,428,140
925597,425,141
926022,427,141
926449,427,141
926876,425,141
927301,423,142
927724,429,140
928153,428,140
928581,427,141
929008,426,141
929434,422,142
929856,426,141
930282,428,140
930710,428,140
931138,428,140
931566,423,142
931989,430,140
932419,426,141
932845,425,141
933270,427,141
933697,427,141
934124,427,141
934551,428,140
934979,426,141
935405,433,139
935838,429,140
936267,428,140
936695,426,141
937121,433,139
937554,431,139
937985,430,140
938415,432,139
938847,428,140
939275,430,140
939705,430,140
940135,433,139
940568,433,139
941001,427,141
941428,434,138
941862,432,139
942294,431,139
942725,433,139
943158,433,139
943591,428,140
944019,863,70
944882,435,138
945317,433,139
945750,429,140
946179,429,140
946608,434,138
947042,431,139
947473,431,139
947904,431,139
948335,429,140
948764,430,140
949194,433,139
949627,430,140
950057,432,139
950489,427,141
950916,432,139
951348,433,139
951781,426,141
952207,429,140
952636,428,140
953064,430,140
953494,426,141
953920,430,140
954350,426,141
954776,424,142
955200,429,140
955629,428,140
956057,426,141
956483,426,141
956909,427,141
957336,422,142
957758,426,141
958184,428,140
958612,426,141
959038,423,142
959461,427,141
959888,423,142
960311,424,142
960735,427,141
961162,425,141
961587,424,142
962011,421,143
962432,425,141
962857,426,141
963283,422,142
963705,424,142
964129,424,142
964553,421,143
964974,420,143
965394,425,141
965819,423,142
966242,421,143
966663,422,142
967085,421,143
967506,420,143
967926,426,141
968352,423,142
968775,420,143
969195,418,144
969613,422,142
970035,421,143
970456,423,142
970879,421,143
971300,418,144
971718,421,143
972139,416,144
972555,422,142
972977,419,143
973396,418,144
973814,420,143
974234,420,143
974654,415,145
975069,416,144
975485,419,143
975904,421,143
976325,417,144
976742,417,144
977159,414,145
977573,419,143
977992,415,145
978407,417,144
978824,419,143
979243,414,145
979657,417,144
980074,412,146
980486,418,144
980904,415,145
981319,418,144
981737,418,144
982155,411,146
982566,415,145
982981,420,143
983401,416,144
983817,419,143
984236,417,144
984653,416,144
985069,412,146
985481,417,144
985898,417,144
986315,413,145
986728,417,144
987145,417,144
987562,416,144
987978,414,145
988392,417,144
988809,418,144
989227,414,145
989641,416,144
990057,416,144
990473,415,145
990888,414,145
991302,415,145
991717,417,144
992134,416,144
992550,420,143
992970,418,144
